,STATION,LATITUDE,LONGITUDE
6,US1COGR0052,40.0911,-106.2
8,US1COHF0024,,
0,US1COHF0041,37.6034,-104.9905
2,US1COJF0001,39.5884,-105.075
11,US1COJF0003,39.7005,-105.0985
10,US1COJF0063,39.7866,-105.2811
1,US1COJF0072,39.8826,-105.1056
4,US1COJF0081,39.4839,-105.2434
11,US1COJF0125,39.5677,-105.308
7,US1COJF0128,39.6183,-105.2793
12,US1COJF0157,39.5795,-105.2789
11,US1COJF0212,39.6082,-105.1371
6,US1COJF0240,39.8171,-105.1774
4,US1COJF0276,39.8143,-105.3945
7,US1COJF0290,39.7564,-105.1468
1,US1COJF0332,39.5403,-105.0963
6,US1COJF0333,39.6774,-105.1367
4,US1COJF0343,39.7667,-105.1142
3,US1COJF0365,39.7197,-105.2472
3,US1COJF0376,39.6177,-105.1299
2,US1COJF0395,39.6244,-105.3068
2,US1COJF0399,39.9055,-105.0572
0,US1COJF0407,39.5566,-105.2466
